Name,Content,Image Featured,Link,Tools Categories
Toggl Plan,"Toggl Plan makes planning is easy. Just drag a task on the timeline to schedule its start and end dates, and you're done.",https://pathpages.com/wp-content/uploads/2021/08/tool-31.png,https://toggl.com/plan/,Project Planner
Convertkit,"ConvertKit helps you find your audience, turn them into true fans, and earn a living as a creator with our software.",https://pathpages.com/wp-content/uploads/2021/08/tool-58.png,https://convertkit.com,Marketing
aText,"aText is a text template, text shortcut, text macro, text automation, text expansion tool. aText accelerates your typing.",https://pathpages.com/wp-content/uploads/2021/08/tool-25.png,https://www.trankynam.com/atext/,Automations
Wix,Wix is a smart website builder with optical delights. Easy to use and as flexible as it can get. With over 500 customizable templates.,https://pathpages.com/wp-content/uploads/2021/08/tool-77.png,http://www.wix.com/,Website
Shopify,"Shopify helps you ttart your ecommerce business and manage it from anywhere, with no coding or design skills needed.",https://pathpages.com/wp-content/uploads/2021/08/tool-68.png,http://www.shopify.com/,Website
Grammarly,Grammarly is a writing assistant that offers you specific suggestions to help you improve your writing.,https://pathpages.com/wp-content/uploads/2021/08/tool-51.png,https://www.grammarly.com,Miscellaneous
Todoist,"Todoist is an task management app and todo list. Users can organize, schedule, maintain and prioritize personal tasks.",https://pathpages.com/wp-content/uploads/2021/08/tool-30.png,https://todoist.com,Task Management
Weebly,"Weebly’s free website builder makes it easy to create a website. Find customizable templates, domains, and easy-to-use tools.",https://pathpages.com/wp-content/uploads/2021/08/tool-83.png,http://www.weebly.com/,Website
IFTTT,IFTTT helps you to do more with your favorite apps and devices. Make your home more relaxing. Make your work more productive.,https://pathpages.com/wp-content/uploads/2021/08/tool-47.png,https://ifttt.com,Automations
Loom,"Loom lets you record your screen, voice, and face to create a shareable video in less time than it would take to type an email.",https://pathpages.com/wp-content/uploads/2021/08/tool-6.png,https://www.loom.com,Communication
Drift,Drift brings your go-to-market teams together to deliver personalized customer experiences in real time.,https://pathpages.com/wp-content/uploads/2021/08/tool-109.png,https://www.drift.com/,Marketing
Mailer Lite,MailerLite is a marketing tool that helps you design beautiful newsletters and set up automated e-commerce campaigns.,https://pathpages.com/wp-content/uploads/2021/08/tool-13.png,https://www.mailerlite.com,Marketing
Toggl Track,Toggl Track is the ultimate simple online timer. Whether you need to track your work or just need a simple stopwatch.,https://pathpages.com/wp-content/uploads/2021/08/tool-20.png,https://toggl.com/track/,Time Tracker
Airtable,"Airtable can store information in a spreadsheet that’s visually appealing, easy to use. It’s also powerful to act as a database.",https://pathpages.com/wp-content/uploads/2021/08/tool-18.png,https://airtable.com,Task Management
Pexels,"Pexels app gives you unlimited access to over 3 million free, high-resolution photos and videos. No attribution needed.",https://pathpages.com/wp-content/uploads/2021/08/tool-29.png,https://www.pexels.com,Miscellaneous
Miro,"Miro provides an engaging, intuitive, in-person collaboration experience. Create, collaborate and centralize communication.",https://pathpages.com/wp-content/uploads/2021/08/tool-28.png,https://miro.com,Collaboration
Squarespace,"Squarespace is the all-in-one solution for anyone looking to create a beautiful website. Domains, eCommerce and more.",https://pathpages.com/wp-content/uploads/2021/08/tool-82.png,http://www.squarespace.com/,Website
Udemy,Udemy is an online learning and teaching marketplace with over 155000 courses and 40 million students.,https://pathpages.com/wp-content/uploads/2021/08/tool-41.png,https://www.udemy.com,Education
Google Trends,"Google Trends is a website that analyzes the popularity of top search queries in Google Search across various regions, languages.",https://pathpages.com/wp-content/uploads/2021/08/tool-110.png,https://www.google.hu/trends/,SEO
Google Search Console,"Google Search Console offers tools and reports help you measure your site’s search traffic and performance, fix issues.",https://pathpages.com/wp-content/uploads/2021/08/tool-12.png,https://search.google.com/search-console,SEO
Clickup,"ClickUp is a productivity platform that makes your personal and work lives more productive, saving you time.",https://pathpages.com/wp-content/uploads/2021/08/tool-27.png,https://clickup.com,Project Planner
FreshBooks,FreshBooks is cloud based accounting. Spend less time on paperwork and more time doing the work that gets you paid!,https://pathpages.com/wp-content/uploads/2021/08/tool-44.png,https://www.freshbooks.com,Finances
Customer.io,"Customer.io is an automated messaging platform for marketers who want more control, flexibility to craft, send data-driven emails.",https://pathpages.com/wp-content/uploads/2021/08/tool-99.png,https://customer.io/,Marketing
Compressor.io,Compressor is the ultimate image optimizer to compress your images in JPEG and PNG formats to the minimum possible size.,https://pathpages.com/wp-content/uploads/2021/08/tool-80.png,https://compressor.io/,Miscellaneous
PrestaShop,"PrestaShop is an e-commerce web app, committed to providing the best shopping cart experience for both merchants and customers.",https://pathpages.com/wp-content/uploads/2021/08/tool-98.png,http://www.prestashop.com/,Website
Spark,Spark helps you take your inbox under control. You can instantly see what’s important on your mail and quickly clean up the rest.,https://pathpages.com/wp-content/uploads/2021/08/tool-15.png,https://sparkmailapp.com,Apps
Dropbox Paper,"Dropbox Paper is a free online word processor, document editor, real-time collaboration tool, and project planner, all in one.",https://pathpages.com/wp-content/uploads/2021/08/tool-45.png,https://www.dropbox.com/paper,Productivity
Google Forms,"Google Forms is an online software for Google account users that lets you create surveys, questionnaires.",https://pathpages.com/wp-content/uploads/2021/08/tool-52.png,https://www.google.com/forms/about/,Miscellaneous
Snov,"Snov.io is an outreach automation platform offering a variety of tools for lead generation, email verification, email sending.",https://pathpages.com/wp-content/uploads/2021/08/tool-37.png,https://snov.io,Marketing
Canva,Canva gives you all the tools you need to design. Choose from hundreds of professionally designed layouts.,https://pathpages.com/wp-content/uploads/2021/08/tool-24.png,https://www.canva.com,Design
Stripe,Stripe is an app that powers commerce for online businesses. Online payment processing for internet businesses.,https://pathpages.com/wp-content/uploads/2021/08/tool-48.png,https://stripe.com,Finances
Dropbox,"Dropbox lets you upload and transfer files to the cloud, and share them with anyone. Back up and sync files to cloud storage.",https://pathpages.com/wp-content/uploads/2021/08/tool-10.png,https://www.dropbox.com,Cloud Storage
Adobe XD,"Adobe XD features are used for creating wireframes, prototypes, and screen designs for digital products like websites, apps.",https://pathpages.com/wp-content/uploads/2021/08/tool-61.png,https://www.adobe.com/sea/products/xd.html,Design
Skillshare,Skillshare is a learning platform with online classes taught by the world’s best practitioners. Personalized learning.,https://pathpages.com/wp-content/uploads/2021/08/tool-39.png,https://www.skillshare.com,Education
Webflow,"Webflow empowers web designers to build professional, responsive, and custom websites in a completely visual canvas.",https://pathpages.com/wp-content/uploads/2021/08/tool-36.png,https://webflow.com,Website
Reply.io,"Reply is a multichannel sales engagement platform that automates email search, LinkedIn outreach and much more.",https://pathpages.com/wp-content/uploads/2021/08/tool-59.png,https://reply.io,Automations
Google Analytics,Google Analytics gives you the tools to better understand your customers. You can then use those insights to take action.,https://pathpages.com/wp-content/uploads/2021/08/tool-5.png,https://analytics.google.com,Analytics
Calendly,Calendly works with your calendar to automate appointment scheduling. Schedule meetings without the hassle.,https://pathpages.com/wp-content/uploads/2021/08/tool-17.png,https://calendly.com,Communication
Notion,"Notion is the all-in-one workspace that combines notes, docs, project management, and wikis — and makes them all customizable.",https://pathpages.com/wp-content/uploads/2021/08/tool-16.png,https://www.notion.so,Productivity
SEMrush,"Semrush offers solutions for SEO, PPC, content, social media and competitive research. Trusted by over 7000000 marketers.",https://pathpages.com/wp-content/uploads/2021/08/tool-112.png,https://www.semrush.com/,SEO
Pipedrive,Pipedrive is a customer relationship management CRM solution that also works as an account-management tool.,https://pathpages.com/wp-content/uploads/2021/08/tool-1.png,https://www.pipedrive.com,Sales
Sketch,"Sketch is a design toolkit built to help you create your best work — from your earliest ideas, through to final artwork.",https://pathpages.com/wp-content/uploads/2021/08/tool-85.png,https://www.sketchapp.com/,Design
Forest,"Forest is an app that helps you stay focused on the important things in life. · Whenever you want to stay focused, plant a tree.",https://pathpages.com/wp-content/uploads/2021/08/tool-60.png,https://www.forestapp.cc,Productivity
Facebook Ads,"Facebook Ads helps connect with the ideal target audience who are most likely interested in their services, products.",https://pathpages.com/wp-content/uploads/2021/08/tool-53.png,https://business.facebook.com,Ads
Paypal,"PayPal is the faster, safer way to send money, make an online payment, receive money or set up a merchant account.",https://pathpages.com/wp-content/uploads/2021/08/tool-49.png,https://www.paypal.com,Finances
Mailchimp,"Mailchimp is the all-in-one integrated marketing platform for small businesses, to grow your business on your terms.",https://pathpages.com/wp-content/uploads/2021/08/tool-11.png,https://mailchimp.com,Marketing
Integromat,Integromat lets you connect apps and automate workflows in a few clicks. Move data between apps without big effort.,https://pathpages.com/wp-content/uploads/2021/08/tool-19.png,https://www.integromat.com/en,Automations
SEO Site Checkup,"SEO Site Checkup runs through a fast audit of your site, checking for proper tags and surfacing any errors that might come up.",https://pathpages.com/wp-content/uploads/2021/08/tool-84.png,http://seositecheckup.com/,SEO
Linkedin Sales Navigator,LinkedIn Sales Navigator makes virtual selling easy with sales tools that focus on helping you find the right prospects.,https://pathpages.com/wp-content/uploads/2021/08/tool-50.png,https://business.linkedin.com/,Marketing
Figma,"Figma is a design platform for teams who build products. Figma helps teams create, test, and ship better designs.",https://pathpages.com/wp-content/uploads/2021/08/tool-26.png,https://www.figma.com,Design
Trello,"Trello cards are your portal to more organized work—where every single part of your task can be managed, tracked.",https://pathpages.com/wp-content/uploads/2021/08/tool-32.png,https://trello.com,Project Planner
Slack,"Slack is a new way to communicate with your team. It's faster, better organized, and more secure than email.",https://pathpages.com/wp-content/uploads/2021/08/tool-21.png,https://slack.com,Communication
Google Drive,Google Drive is an cloud storage. Where you can create and share your work online and access your documents from anywhere.,https://pathpages.com/wp-content/uploads/2021/08/tool-43.png,https://www.google.com/drive/,Cloud Storage
Buffer,Buffer is a simpler way to schedule posts and track the performance of your content. Manage all your social media.,https://pathpages.com/wp-content/uploads/2021/08/tool-4.png,https://buffer.com,Social Media
HubSpot,"HubSpot offers a full platform of marketing, customer service, sales, and CRM software. Plus the methodology, resources, support.",https://pathpages.com/wp-content/uploads/2021/08/tool-7.png,https://www.hubspot.com,Sales
Harvest,"Harvest helps you track time and expenses, create reports, invoice clients. It scales with you through every stage of your business.",https://pathpages.com/wp-content/uploads/2021/08/tool-54.png,https://www.getharvest.com,Time Tracker
Phantom Buster,Phantombuster is the growth-hackers favorite weapon. It automates your sales and marketing processes.,https://pathpages.com/wp-content/uploads/2021/08/tool-8.png,https://phantombuster.com,Automations
Hello-Sign,"Hello Sign is the easiest way to send, receive and manage legally binding electronic signatures. It takes paper out of the equation.",https://pathpages.com/wp-content/uploads/2021/08/tool-56.png,https://www.hellosign.com/,Legal
Survey Monkey,SurveyMonkey helps you to drive your business forward by using our free online survey tool to capture the voices and opinions.,https://pathpages.com/wp-content/uploads/2021/08/tool-86.png,https://www.surveymonkey.com/,Research
Zapier,"Zapier makes you happier by automating away the tedious, time-consuming tasks that eat up productivity.",https://pathpages.com/wp-content/uploads/2021/08/tool-46.png,https://zapier.com,Automations
Bitly,Bitly helps you create and share branded links with custom domains at scale. Free url shortener to create perfect urls.,https://pathpages.com/wp-content/uploads/2021/08/tool-81.png,https://bitly.com/,Analytics
Evernote,"Evernote is a powerful tool that can help executives, entrepreneurs and creative people capture and arrange their ideas.",https://pathpages.com/wp-content/uploads/2021/08/tool-65.png,https://evernote.com,Productivity
1 Password,"1Password remembers all your passwords for you, and keeps them safe and secure behind the one password that only you know.",https://pathpages.com/wp-content/uploads/2021/08/tool-9.png,https://1password.com,Miscellaneous
Gumroad,Gumroad is an online platform that facilitates the sale of products by creators directly to consumers. Sell products easily.,https://pathpages.com/wp-content/uploads/2021/08/tool-55.png,https://gumroad.com,Finances
Feedly,Feedly is a secure space where you can privately organize and research the topics and trends that matter to you.,https://pathpages.com/wp-content/uploads/2021/08/tool-57.png,https://feedly.com/,Link Management
Unsplash,Unsplash is a creative platform that makes high-resolution photography freely available for any kind of use.,https://pathpages.com/wp-content/uploads/2021/08/tool-22.png,https://unsplash.com,Miscellaneous
Things,Things is a task management solution that helps to organize your tasks in an elegant and intuitive way.,https://pathpages.com/wp-content/uploads/2021/08/tool-14.png,https://culturedcode.com/things/,Task Management
SimilarWeb,"Similarweb is the competitive digital intelligence tool for a complete view of your industry, competitors, and customers.",https://pathpages.com/wp-content/uploads/2021/08/tool-113.png,https://www.similarweb.com/,Research
Optimizely,"Optimizely DXP platform provides A/B testing and multivariate testing tools, website personalization, and more.",https://pathpages.com/wp-content/uploads/2021/08/tool-91.png,https://www.optimizely.com/,Marketing
Wordpress,WordPress is a powerful application that allows you to easily build websites and publish your personal website online.,https://pathpages.com/wp-content/uploads/2021/08/tool-38.png,https://wordpress.org,Website
Fresh Sales,Freshsales is a powerful and easy to use visual CRM and selling system that fits right into the daily workflow of sales teams.,https://pathpages.com/wp-content/uploads/2021/08/tool-34.png,https://www.freshworks.com/crm/sales/,Sales
Google Ads,Google Ads is an online advertising platform where advertisers bid to display advertisements to web users.,https://pathpages.com/wp-content/uploads/2021/08/tool-3.png,https://ads.google.com,Ads
Wave,"Wave makes your accounting tasks easy, fast and secure. Start sending invoices, tracking time, capturing expenses.",https://pathpages.com/wp-content/uploads/2021/08/tool-33.png,https://www.waveapps.com,Finances
QuickBooks,"QuickBooks is a financial software for small business start-ups to track, organize, and manage their finances.",https://pathpages.com/wp-content/uploads/2021/08/tool-42.png,https://quickbooks.intuit.com/global/,Finances
Ahrefs,"Ahrefs is an SEO software suite that contains tools for link building, keyword research, competitor analysis, rank tracking and audits.",https://pathpages.com/wp-content/uploads/2021/08/tool-108.png,https://ahrefs.com/,Marketing
Invoice2go,"Invoice2go is the all-in-one tool that helps you run your small business. Manage customers, send invoices, accept payments.",https://pathpages.com/wp-content/uploads/2021/08/tool-70.png,https://invoice.2go.com,Finances
Intercom,"Intercom is a fundamentally new way for internet businesses to communicate with customers, personally.",https://pathpages.com/wp-content/uploads/2021/08/tool-93.png,https://www.intercom.io/,Communication
Pocket,"Pocket, previously known as Read It Later, is an application for managing a reading list of articles and videos from the internet.",https://pathpages.com/wp-content/uploads/2021/08/tool-2.png,https://getpocket.com,Link Management
Asana,"Asana is the work manager for teams. From the small stuff to the big picture, Asana organizes work so teams are clear what to do.",https://pathpages.com/wp-content/uploads/2021/08/tool-35.png,https://asana.com,Project Planner